Date,Description,Amount,Category
2024-02-01,Whole Foods Market,-85.5,Groceries
2024-02-02,Netflix Subscription,-15.99,Subscription
2024-02-03,Uber Ride,-22.3,Travel
2024-02-04,Salary Deposit,3500.0,Income
2024-02-05,Amazon Purchase,-127.89,Retail
2024-02-06,Starbucks,-6.75,Food & Dining
2024-02-07,Electric Bill,-145.2,Utilities
2024-02-08,Target Shopping,-54.32,Retail
2024-02-09,Restaurant Dinner,-67.8,Food & Dining
2024-02-10,Gas Station,-45.0,Utilities
2024-02-11,Gym Membership,-49.99,Health
2024-02-12,Movie Tickets,-28.0,Entertainment
2024-02-13,Grocery Store,-98.65,Groceries
2024-02-14,Online Course,-199.0,Education
2024-02-15,Bank Transfer to Savings,500.0,Transfer
