Date,Description,Debit,Credit
2024-02-01,Whole Foods Market,85.50,
2024-02-02,Netflix Subscription,15.99,
2024-02-03,Uber Ride,22.30,
2024-02-04,Salary Deposit,,3500.00
2024-02-05,Amazon Purchase,127.89,
2024-02-06,Starbucks,6.75,
2024-02-07,Electric Bill,145.20,
2024-02-08,Target Shopping,54.32,
2024-02-09,Restaurant Dinner,67.80,
2024-02-10,Gas Station,45.00,
2024-02-11,Gym Membership,49.99,
2024-02-12,Movie Tickets,28.00,
2024-02-13,Grocery Store,98.65,
2024-02-14,Online Course,199.00,
2024-02-15,Bank Transfer to Savings,500.00,
